站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-06-15 20,3.90,0.200,0.115,90.0,6.83,7.54,--,III,Ⅴ,-,2020-06-15 23:05:02
黄龙溪,府河,2020-06-16 00,3.50,0.180,0.106,77.8,6.75,7.53,--,III,Ⅴ,-,2020-06-16 03:05:02
黄龙溪,府河,2020-06-16 04,3.70,0.180,0.100,75.1,6.75,7.53,--,II,Ⅴ,-,2020-06-16 07:05:02
黄龙溪,府河,2020-06-16 08,3.60,0.180,0.109,88.2,6.54,7.54,--,III,Ⅴ,-,2020-06-16 11:05:03
黄龙溪,府河,2020-06-16 12,4.50,0.210,0.109,118.7,6.64,7.50,--,III,Ⅴ,-,2020-06-16 15:05:02
黄龙溪,府河,2020-06-16 16,3.90,0.210,0.111,100.7,6.63,7.48,--,III,Ⅴ,-,2020-06-16 19:05:03
黄龙溪,府河,2020-06-16 20,4.00,0.230,0.107,93.4,6.50,7.46,--,III,Ⅴ,-,2020-06-16 23:05:02
黄龙溪,府河,2020-06-17 00,3.80,0.190,0.107,82.4,6.59,7.53,--,III,Ⅴ,-,2020-06-17 03:05:02
黄龙溪,府河,2020-06-17 04,3.50,0.220,0.095,79.0,6.78,7.55,--,II,Ⅴ,-,2020-06-17 07:05:02
黄龙溪,府河,2020-06-17 08,11.40,0.450,NA,472.1,5.98,7.48,--,V,Ⅴ,高锰酸盐指数,2020-06-17 11:05:02
黄龙溪,府河,2020-06-17 12,14.70,0.730,NA,473.0,4.75,7.45,--,V,Ⅴ,"高锰酸盐指数,溶解氧",2020-06-17 15:05:03
黄龙溪,府河,2020-06-17 16,14.70,0.930,NA,460.2,4.57,7.47,--,V,Ⅴ,"高锰酸盐指数,溶解氧",2020-06-17 19:05:02
黄龙溪,府河,2020-06-17 20,14.70,1.250,NA,273.7,4.52,7.44,--,V,Ⅴ,"氨氮,高锰酸盐指数,溶解氧",2020-06-17 23:05:03
黄龙溪,府河,2020-06-18 00,8.00,1.000,0.148,182.2,5.05,7.41,--,IV,Ⅴ,高锰酸盐指数,2020-06-18 03:05:02
黄龙溪,府河,2020-06-18 04,6.50,0.830,0.131,119.0,5.76,7.37,--,IV,Ⅴ,高锰酸盐指数,2020-06-18 07:05:02
黄龙溪,府河,2020-06-18 08,5.50,0.760,0.138,120.2,5.72,7.35,--,III,Ⅴ,-,2020-06-18 11:05:02
黄龙溪,府河,2020-06-18 12,4.80,0.650,0.121,108.9,6.17,7.34,--,III,Ⅴ,-,2020-06-18 15:05:02
黄龙溪,府河,2020-06-18 16,4.60,0.550,0.139,93.4,6.23,7.35,--,III,Ⅴ,-,2020-06-18 19:05:02
黄龙溪,府河,2020-06-18 20,4.80,0.480,0.158,83.9,6.29,7.56,--,III,Ⅴ,-,2020-06-18 23:05:03
黄龙溪,府河,2020-06-19 00,4.20,0.280,0.131,78.1,6.69,7.63,--,III,Ⅴ,-,2020-06-19 03:05:02
黄龙溪,府河,2020-06-19 04,4.00,0.370,0.121,77.8,6.50,7.67,--,III,Ⅴ,-,2020-06-19 07:05:03
黄龙溪,府河,2020-06-19 08,4.80,0.300,0.126,92.5,6.69,7.66,--,III,Ⅴ,-,2020-06-19 11:05:02
黄龙溪,府河,2020-06-19 12,3.90,0.290,0.120,97.4,6.59,7.66,--,III,Ⅴ,-,2020-06-19 15:05:02
黄龙溪,府河,2020-06-19 16,4.00,0.160,0.106,83.9,6.67,7.64,--,III,Ⅴ,-,2020-06-19 19:05:02
黄龙溪,府河,2020-06-19 20,3.80,0.190,0.122,87.9,6.31,7.63,--,III,Ⅴ,-,2020-06-19 23:05:02
黄龙溪,府河,2020-06-20 00,3.80,0.120,0.115,88.2,6.72,7.67,--,III,Ⅴ,-,2020-06-20 03:05:02
黄龙溪,府河,2020-06-20 04,3.80,0.150,0.110,79.0,6.67,7.69,--,III,Ⅴ,-,2020-06-20 07:05:03
黄龙溪,府河,2020-06-20 08,3.90,0.160,0.120,98.3,6.83,7.66,--,III,Ⅴ,-,2020-06-20 11:05:02
黄龙溪,府河,2020-06-20 12,3.90,0.200,0.111,109.6,6.65,7.66,--,III,Ⅴ,-,2020-06-20 15:05:03
黄龙溪,府河,2020-06-20 16,4.00,0.190,0.098,98.9,6.62,7.59,--,II,Ⅴ,-,2020-06-20 19:05:03
黄龙溪,府河,2020-06-20 20,4.00,0.230,0.114,101.9,6.40,7.57,--,III,Ⅴ,-,2020-06-20 23:05:02
黄龙溪,府河,2020-06-21 00,4.00,0.150,0.121,105.6,6.84,7.58,--,III,Ⅴ,-,2020-06-21 03:05:02
黄龙溪,府河,2020-06-21 04,3.90,0.210,0.113,109.9,6.77,7.58,--,III,Ⅴ,-,2020-06-21 07:05:02
